weight,source,target,hierachy_source,hierachy_target
0.0,V1,V1,0.0,0.0
0.73216,V1,V2,0.0,0.1752
0.12773,V1,V4,0.0,0.4201
0.00049,V1,DP,0.0,0.5842
0.05885,V1,MT,0.0,0.6062
0.0,V1,8m,0.0,0.6532
0.0,V1,5,0.0,0.6981
0.00021,V1,8l,0.0,0.7029
0.02703,V1,TEO,0.0,0.7038
0.0,V1,2,0.0,0.7059
0.0,V1,F1,0.0,0.723
0.00165,V1,STPc,0.0,0.7522
0.0,V1,7A,0.0,0.7709
0.0,V1,46d,0.0,0.806
0.0,V1,10,0.0,0.8206
0.0,V1,9/46v,0.0,0.8275
0.0,V1,9/46d,0.0,0.8334
0.0,V1,F5,0.0,0.8379
0.00363,V1,TEpd,0.0,0.8424
0.0,V1,PBr,0.0,0.851
0.0,V1,7m,0.0,0.8568
0.0,V1,7B,0.0,0.8981
0.0,V1,F2,0.0,0.9095
0.00043,V1,STPi,0.0,0.9132
0.0,V1,PROm,0.0,0.9172
0.0,V1,F7,0.0,0.9388
0.0,V1,8B,0.0,0.9537
2e-05,V1,STPr,0.0,0.9973
0.0,V1,24c,0.0,1.0
0.76356,V2,V1,0.1752,0.0
0.0,V2,V2,0.1752,0.1752
0.15133,V2,V4,0.1752,0.4201
0.00042,V2,DP,0.1752,0.5842
0.03573,V2,MT,0.1752,0.6062
2e-05,V2,8m,0.1752,0.6532
0.0,V2,5,0.1752,0.6981
0.00011,V2,8l,0.1752,0.7029
0.00327,V2,TEO,0.1752,0.7038
0.0,V2,2,0.1752,0.7059
0.0,V2,F1,0.1752,0.723
9e-05,V2,STPc,0.1752,0.7522
0.0,V2,7A,0.1752,0.7709
0.0,V2,46d,0.1752,0.806
0.0,V2,10,0.1752,0.8206
0.0,V2,9/46v,0.1752,0.8275
0.0,V2,9/46d,0.1752,0.8334
0.0,V2,F5,0.1752,0.8379
0.00105,V2,TEpd,0.1752,0.8424
0.0,V2,PBr,0.1752,0.851
0.0,V2,7m,0.1752,0.8568
0.0,V2,7B,0.1752,0.8981
0.0,V2,F2,0.1752,0.9095
7e-05,V2,STPi,0.1752,0.9132
0.0,V2,PROm,0.1752,0.9172
0.0,V2,F7,0.1752,0.9388
0.0,V2,8B,0.1752,0.9537
1e-05,V2,STPr,0.1752,0.9973
0.0,V2,24c,0.1752,1.0
0.01305,V4,V1,0.4201,0.0
0.39085,V4,V2,0.4201,0.1752
0.0,V4,V4,0.4201,0.4201
0.0001,V4,DP,0.4201,0.5842
0.08468,V4,MT,0.4201,0.6062
0.0,V4,8m,0.4201,0.6532
0.0,V4,5,0.4201,0.6981
0.00242,V4,8l,0.4201,0.7029
0.23782,V4,TEO,0.4201,0.7038
0.0,V4,2,0.4201,0.7059
0.0,V4,F1,0.4201,0.723
0.00011,V4,STPc,0.4201,0.7522
0.0001,V4,7A,0.4201,0.7709
0.0,V4,46d,0.4201,0.806
0.0,V4,10,0.4201,0.8206
2e-05,V4,9/46v,0.4201,0.8275
0.0,V4,9/46d,0.4201,0.8334
0.0,V4,F5,0.4201,0.8379
0.07488,V4,TEpd,0.4201,0.8424
0.0,V4,PBr,0.4201,0.851
0.0,V4,7m,0.4201,0.8568
0.0,V4,7B,0.4201,0.8981
0.0,V4,F2,0.4201,0.9095
0.00023,V4,STPi,0.4201,0.9132
0.0,V4,PROm,0.4201,0.9172
0.0,V4,F7,0.4201,0.9388
0.0,V4,8B,0.4201,0.9537
0.00026,V4,STPr,0.4201,0.9973
0.0,V4,24c,0.4201,1.0
1e-05,DP,V1,0.5842,0.0
0.07902,DP,V2,0.5842,0.1752
0.33761,DP,V4,0.5842,0.4201
0.0,DP,DP,0.5842,0.5842
0.16242,DP,MT,0.5842,0.6062
0.00193,DP,8m,0.5842,0.6532
0.0,DP,5,0.5842,0.6981
0.0,DP,8l,0.5842,0.7029
0.00034,DP,TEO,0.5842,0.7038
0.0,DP,2,0.5842,0.7059
0.0,DP,F1,0.5842,0.723
0.00034,DP,STPc,0.5842,0.7522
0.11797,DP,7A,0.5842,0.7709
0.00076,DP,46d,0.5842,0.806
0.0,DP,10,0.5842,0.8206
0.0,DP,9/46v,0.5842,0.8275
0.00078,DP,9/46d,0.5842,0.8334
2e-05,DP,F5,0.5842,0.8379
0.00122,DP,TEpd,0.5842,0.8424
0.0,DP,PBr,0.5842,0.851
0.00023,DP,7m,0.5842,0.8568
0.0,DP,7B,0.5842,0.8981
0.00154,DP,F2,0.5842,0.9095
5e-05,DP,STPi,0.5842,0.9132
